,player_key,Pos,PTS,AST,STL,BLK,TRB,TOV,PF,Salary
68,Pascal Siakam,PF,22.8,5.3,1.3,0.6,8.5,2.7,3.3,35448672
69,Dean Wade,PF,5.3,1.0,0.6,0.1,2.9,0.3,1.7,1930681
70,Danilo Gallinari,PF,11.7,1.5,0.4,0.2,4.7,0.6,1.4,16907880
71,Wendell Carter Jr.,PF,15.0,2.8,0.6,0.7,10.5,1.9,2.7,14150000
72,Domantas Sabonis,PF,18.9,5.2,1.0,0.4,12.1,3.1,3.3,18500000
73,Marcus Morris,PF,15.4,2.1,0.5,0.3,4.4,1.3,2.1,16372093
74,Grant Williams,PF,7.8,1.0,0.5,0.7,3.6,0.8,2.4,4306281
75,Rudy Gay,PF,8.1,1.0,0.5,0.3,4.4,0.9,1.7,6184500
76,JaMychal Green,PF,6.4,0.9,0.6,0.4,4.2,0.9,2.4,10036090
77,Darius Bazley,PF,10.8,1.4,0.8,1.0,6.3,1.3,1.0,4264629
78,Zeke Nnaji,PF,6.6,0.4,0.4,0.3,3.6,0.6,1.9,2617800
79,Harrison Barnes,PF,16.4,2.4,0.7,0.2,5.6,1.5,1.2,18352273
80,Nicolas Batum,PF,8.3,1.7,1.0,0.7,4.3,0.7,1.4,19700319
81,Tobias Harris,PF,17.2,3.5,0.6,0.6,6.8,1.6,2.2,37633050
82,Isaiah Roby,PF,10.1,1.6,0.8,0.8,4.8,1.0,2.4,1930681
83,Aleksej Pokusevski,PF,7.6,2.1,0.6,0.6,5.2,1.5,1.4,3261480
84,Otto Porter Jr.,PF,8.2,1.5,1.1,0.5,5.7,0.6,1.3,6000000
85,Anthony Gill,PF,4.1,0.6,0.1,0.3,1.9,0.4,1.3,1836090
86,Bojan Bogdanović,PF,18.1,1.7,0.5,0.0,4.3,1.7,1.7,19550000
87,Rui Hachimura,PF,11.3,1.1,0.5,0.2,3.8,0.8,1.3,6263188
88,Jerami Grant,PF,19.2,2.4,0.9,1.0,4.1,1.8,2.3,20955000
89,Julius Randle,PF,20.1,5.1,0.7,0.5,9.9,3.4,2.8,23760000
90,Draymond Green,PF,7.5,7.0,1.3,1.1,7.3,3.0,3.0,25806468
91,Chuma Okeke,PF,8.6,1.7,1.4,0.6,5.0,0.8,1.4,3433320
92,Taurean Prince,PF,7.3,1.0,0.7,0.3,2.5,0.8,1.7,7295000
93,Georges Niang,PF,9.2,1.3,0.4,0.2,2.7,0.8,2.5,3465000
94,Jaren Jackson Jr.,PF,16.3,1.1,0.9,2.3,5.8,1.7,3.5,28946605
95,LeBron James,PF,30.3,6.2,1.3,1.1,8.2,3.5,2.2,44474988
96,Kyle Kuzma,PF,17.1,3.5,0.6,0.9,8.5,2.6,1.9,13000000
97,Cameron Johnson,PF,12.5,1.5,0.9,0.2,4.1,0.7,1.7,5887899
98,Maxi Kleber,PF,7.0,1.2,0.5,1.0,5.9,0.8,2.3,9000000
99,Dāvis Bertāns,PF,5.6,0.6,0.3,0.2,2.1,0.3,1.5,16000000
100,Derrick Jones Jr.,PF,5.6,0.6,0.5,0.6,3.3,0.6,2.1,3200000
101,Herbert Jones,PF,9.5,2.1,1.7,0.8,3.8,1.3,3.1,1785000
102,Aaron Gordon,PF,15.0,2.5,0.6,0.6,5.9,1.8,2.0,19690909
103,Jeff Green,PF,10.3,1.3,0.4,0.4,3.1,0.9,2.0,4500000
104,Stanley Johnson,PF,6.7,1.7,0.9,0.3,3.2,0.7,2.3,2351521
105,Killian Hayes,PG,6.9,4.2,1.2,0.5,3.2,1.7,2.8,5837760
106,Jose Alvarado,PG,6.1,2.8,1.3,0.1,1.9,0.7,1.4,1563518
107,Raul Neto,PG,7.5,3.1,0.8,0.0,1.9,1.1,1.5,1836090
108,Jalen Suggs,PG,11.8,4.4,1.2,0.4,3.6,3.0,3.0,6922320
109,Dalano Banton,PG,3.2,1.5,0.4,0.2,1.9,0.8,1.1,1563518
110,Fred VanVleet,PG,20.3,6.7,1.7,0.5,4.4,2.6,2.5,21250000
111,Tre Jones,PG,6.0,3.4,0.6,0.1,2.2,0.7,1.1,1782621
112,Aaron Holiday,PG,6.3,2.4,0.7,0.1,1.9,1.1,1.5,1836090
113,George Hill,PG,6.2,2.2,0.8,0.1,2.9,0.8,1.3,4000000
114,James Harden,PG,22.0,10.3,1.3,0.6,7.7,4.4,2.4,33000000
115,Trey Burke,PG,5.1,1.4,0.3,0.0,0.8,0.6,0.9,3423750
116,Devonte' Graham,PG,11.9,4.2,0.9,0.2,2.3,1.4,1.3,11550000
117,Shai Gilgeous-Alexander,PG,24.5,5.9,1.3,0.8,5.0,2.8,2.5,30913750
118,Jrue Holiday,PG,18.3,6.8,1.6,0.4,4.5,2.7,2.0,33665040
119,De'Aaron Fox,PG,23.2,5.6,1.2,0.4,3.9,2.8,2.9,30351780
120,Malachi Flynn,PG,4.3,1.6,0.5,0.1,1.4,0.3,1.0,2145720
121,Luka Dončić,PG,28.4,8.7,1.2,0.6,9.1,4.5,2.2,37096500
122,Stephen Curry,PG,25.5,6.3,1.3,0.4,5.2,3.2,2.0,48070014
123,Mike Conley,PG,13.7,5.3,1.3,0.3,3.0,1.7,2.0,22680000
124,Jevon Carter,PG,4.2,1.5,0.4,0.2,1.7,0.5,1.0,6025000
125,Dejounte Murray,PG,21.1,9.2,2.0,0.3,8.3,2.6,2.0,16571120
126,Tyus Jones,PG,8.7,4.4,0.9,0.0,2.4,0.6,0.4,15000000
127,Ja Morant,PG,27.4,6.7,1.2,0.4,5.7,3.4,1.5,12119440
128,Darius Garland,PG,21.7,8.6,1.3,0.1,3.3,3.6,1.7,8920795
129,Davion Mitchell,PG,11.5,4.2,0.7,0.3,2.2,1.5,1.9,4833600
130,Tre Mann,PG,10.4,1.5,0.8,0.2,2.9,1.2,1.7,3046200
131,Kyle Lowry,PG,13.4,7.5,1.1,0.3,4.5,2.7,2.8,28333334
132,Russell Westbrook,PG,18.5,7.1,1.0,0.3,7.4,3.8,3.0,47063478
133,Coby White,PG,12.7,2.9,0.5,0.2,3.0,1.1,2.2,7413955
134,Patrick Beverley,PG,9.2,4.6,1.2,0.9,4.1,1.3,3.0,13000000
135,Cory Joseph,PG,8.0,3.6,0.6,0.3,2.7,1.3,2.3,5155500
136,Eric Bledsoe,PG,9.9,4.2,1.3,0.4,3.4,2.1,1.6,1300000
137,Trae Young,PG,28.4,9.7,0.9,0.1,3.7,4.0,1.7,37096500
138,Théo Maledon,PG,7.1,2.2,0.6,0.2,2.6,1.3,1.3,1900000
139,Monte Morris,PG,12.6,4.4,0.7,0.2,3.0,1.0,1.2,9125000
140,Tyrese Maxey,PG,17.5,4.3,0.7,0.4,3.2,1.2,2.1,2726880
141,Tyrese Haliburton,PG,15.3,8.2,1.7,0.6,4.0,2.6,1.6,4215120
142,D.J. Augustin,PG,5.3,1.9,0.3,0.0,1.2,1.0,0.7,333333
143,Gabe Vincent,PG,8.7,3.1,0.9,0.2,1.9,1.4,2.3,1815677
144,Cole Anthony,PG,16.3,5.7,0.7,0.3,5.4,2.6,2.6,3613680
145,Jordan McLaughlin,PG,3.8,2.9,0.9,0.2,1.5,0.6,0.9,2160000
146,Cameron Payne,PG,10.8,4.9,0.7,0.3,3.0,1.8,2.1,6000000
147,LaMelo Ball,PG,20.1,7.6,1.6,0.4,6.7,3.3,3.2,8623920
148,Chris Paul,PG,14.7,10.8,1.9,0.3,4.4,2.4,2.1,28400000
149,Marcus Smart,PG,12.1,5.9,1.7,0.3,3.8,2.2,2.3,17207142
150,D'Angelo Russell,PG,18.1,7.1,1.0,0.3,3.3,2.5,2.0,31377750
151,Payton Pritchard,PG,6.2,2.0,0.4,0.1,1.9,0.6,0.9,2239200
152,Immanuel Quickley,PG,11.3,3.5,0.7,0.0,3.2,1.3,2.1,2316240
153,Kevin Porter Jr.,PG,15.6,6.2,1.1,0.4,4.4,3.1,2.6,3217631
154,Mikal Bridges,SF,14.2,2.3,1.2,0.4,4.2,0.8,1.8,20100000
155,De'Andre Hunter,SF,13.4,1.3,0.7,0.4,3.3,1.3,2.9,9835881
156,Caleb Martin,SF,9.2,1.1,1.0,0.5,3.8,0.9,1.7,6479000
157,Oshae Brissett,SF,9.1,1.1,0.7,0.4,5.3,0.8,1.7,1846738
158,Kevin Huerter,SF,12.1,2.7,0.7,0.4,3.4,1.2,2.5,14508929
159,Greg Brown III,SF,4.7,0.7,0.5,0.5,2.8,0.8,1.9,1563518
160,Keita Bates-Diop,SF,5.7,0.7,0.5,0.2,3.9,0.8,1.0,1878720
161,Lauri Markkanen,SF,14.8,1.3,0.7,0.5,5.7,0.9,2.1,16475454
162,Josh Giddey,SF,12.5,6.4,0.9,0.4,7.8,3.2,1.6,6287400
163,Nassir Little,SF,9.8,1.3,0.6,0.9,5.6,1.0,2.0,4171548
164,Deni Avdija,SF,8.4,2.0,0.7,0.5,5.2,1.1,2.3,4916160
165,Terance Mann,SF,10.8,2.6,0.7,0.3,5.2,1.0,2.2,1930681
166,Joe Ingles,SF,7.2,3.5,0.5,0.1,2.9,1.0,1.8,6479000
167,Kenrich Williams,SF,7.4,2.2,0.9,0.2,4.5,0.9,1.7,2000000
168,Cody Martin,SF,7.7,2.5,1.2,0.5,4.0,0.9,1.6,7000000
169,Naji Marshall,SF,5.7,1.1,0.6,0.1,2.6,0.8,1.3,1782621
170,Kenyon Martin Jr.,SF,8.8,1.3,0.4,0.5,3.8,0.8,1.4,1782621
171,Jalen McDaniels,SF,6.2,1.1,0.5,0.4,3.1,0.7,1.7,1930681
172,Khris Middleton,SF,20.1,5.4,1.2,0.3,5.4,2.9,2.4,37948276
173,Torrey Craig,SF,6.5,1.1,0.5,0.4,3.8,0.8,1.9,5121951
174,Ziaire Williams,SF,8.1,1.0,0.6,0.2,2.1,0.7,1.8,4591680
175,Pat Connaughton,SF,9.9,1.3,0.9,0.2,4.2,0.5,1.3,5728393
176,Dylan Windler,SF,2.2,0.7,0.3,0.1,1.8,0.3,0.9,4037278
177,Reggie Bullock,SF,8.6,1.2,0.6,0.2,3.5,0.6,1.6,10012800
178,Danuel House Jr.,SF,5.9,1.0,0.5,0.4,2.6,0.8,1.2,4105000
179,Jaylen Brown,SF,23.6,3.5,1.1,0.3,6.1,2.7,2.5,28741071
180,Andrew Wiggins,SF,17.2,2.2,1.0,0.7,4.5,1.5,2.2,33616770
181,Brandon Ingram,SF,22.7,5.6,0.6,0.5,5.8,2.7,2.2,31650600
182,CJ Elleby,SF,5.8,1.5,0.6,0.3,3.9,1.0,2.0,1836090
183,Troy Brown Jr.,SF,4.3,1.0,0.5,0.1,3.1,0.4,0.9,1836090
184,Royce O'Neale,SF,7.4,2.5,1.1,0.4,4.8,1.0,2.4,9200000
185,David Nwaba,SF,5.1,0.8,0.6,0.4,3.3,0.5,1.2,5022000
186,Aaron Nesmith,SF,3.8,0.4,0.4,0.1,1.7,0.6,1.3,3804360
187,Gordon Hayward,SF,15.9,3.6,1.0,0.4,4.6,1.7,1.7,30075000
188,Devin Vassell,SF,12.3,1.9,1.1,0.6,4.3,0.8,2.0,4437000
189,Svi Mykhailiuk,SF,4.6,0.8,0.5,0.1,1.6,0.6,1.0,1878720
190,RJ Barrett,SF,20.0,3.0,0.6,0.2,5.8,2.2,2.0,10900635
191,Saddiq Bey,SF,16.1,2.8,0.9,0.2,5.4,1.2,1.6,2959080
192,Trey Murphy III,SF,5.4,0.6,0.4,0.1,2.4,0.3,1.0,3206520
193,Bruce Brown,SF,9.0,2.1,1.1,0.7,4.8,0.8,2.4,6479000
194,Franz Wagner,SF,15.2,2.9,0.9,0.4,4.5,1.5,2.1,5258280
195,Chris Boucher,SF,9.4,0.3,0.6,0.9,6.2,0.5,2.2,12690000
196,Kessler Edwards,SF,5.9,0.6,0.6,0.5,3.6,0.9,1.8,1637966
197,Trendon Watford,SF,7.6,1.7,0.5,0.6,4.1,0.9,2.4,1563518
198,Thanasis Antetokounmpo,SF,3.6,0.5,0.3,0.3,2.1,0.5,1.4,1878720
